text,topics
"Title: SmokeFreeBrain - Multidisciplinary tools for improving the efficacy of public prevention measures against smoking Abstract: Smoking is the largest avoidable cause of preventable morbidity worldwide. It causes most of the cases of lung cancer and chronic obstructive pulmonary disease (COPD) and contributes to the development of other lung diseases. The control of smoking is considered as a highly important intervention for the prevention of lung diseases. Tobacco consumption is highly influenced by socioeconomic factors. SmokeFreeBrain aims to address the effectiveness of a multi-level variety of interventions aiming at smoking cessation in high risk target groups within High Middle Income Countries (HMIC) such as unemployed young adults, COPD and asthma patients, as well as within the general population in Low Middle Income Countries (LMIC). The project addresses existing approaches aiming to prevent lung diseases caused by tobacco while at the same time it develops new treatments and analyzes their contextual adaptability to the local and global health care system. 
SmokeFreeBrain follows an interdisciplinary approach exploiting consortium’s expertise in various relevant fields in order to generate new knowledge. State of the art techniques in toxicology, pulmonary medicine, neuroscience and behavior will be utilized to evaluate the effectiveness of: (i) Public Service Announcement (PSA) against smoking, (ii) the use of electronic cigarettes with and without nicotine as a harm reduction approach and/or cessation aid, (iii) a specifically developed neurofeedback intervention protocol against smoking addiction, (iv) a specifically developed intervention protocol based on behavioral therapy, social media/mobile apps and short text messages (sms) and (v) pharmacologic interventions. The main objective of the project is to evaluate the interventions in terms of health economics, by studying their cost-effectiveness, and proposing a scalable plan and a clear pathway to embedding the proposed interventions into policy and practice both in LMIC as well as in HMIC.","[""radio technology""]"
"Title: C-SERVEES - Activating Circular Services in the Electric and Electronic Sector Abstract: C-SERVEES aims to boost a resource-efficient circular economy in the electrical and electronic (E&E) sector through the development, testing, validation and transfer of new circular economic business models (CEBMs) based on systemic eco-innovative services that include: (1) eco-leasing of EEE, (2) product customization, (3) improved WEEE management, and (4) ICT services to support the other eco-services. ICT tools (relying on QR codes) will be developed as the driver of the proposed eco-innovative services to take full advantage of the potential and synergies of two major revolutions of our time: the circular economy and the Industry 4.0. The project will thus contribute to transform the E&E sector into circular and 4.0, raising new opportunities for end-users (such as their involvement in design or the access to a product as a service) and for social and solidarity economy (conducted by NGOs, like EMAUS, which employ people at risk of social exclusion to repair and prepare WEEE for re-use). The techno-economic, environmental and social viability of the new CEBMs will be validated through demonstrations dealing with four target products belonging to different EEE categories: large household appliances, IT equipment, telecommunications equipment, and consumer equipment. These EEE categories together account for 77% of WEEE collected in the EU.
The project will result in an estimated economic benefit of 57.03 M€ over the period 2022-2026, which taking into account the project budget (8.03 M€) yields a ROI ~ 7.1. Specifically, the project will generate in the mid-term an economic benefit of 28.4 M€/year, with about 355 green employees (including direct and indirect jobs) and a total reduction of 2,620 tonnes CO2 eq/year.
C-SERVEES (10 Member States and Turkey, including industry, end-users and researchers, ensures that strategic, design and implementation decisions) will be in line with business realities and set the foundation for realistic market-ready solutions.","[""telecommunications""]"
"Title: 5G-SMART - 5G for Smart Manufacturing Abstract: Today smart manufacturing sector is undergoing a digital transformation addressing the challenge of reducing manual processes and increasing efficiency. 5G is foreseen as key enabler for the future manufacturing ecosystem termed Industry 4.0. 5G-SMART unlocks the value of 5G for smart manufacturing through demonstrating, validating and evaluating its potential in real manufacturing environments. 5G-SMART trials will test the most advanced 5G integrated manufacturing applications such as digital twins, industrial robotics and machine vision based remote operations by bringing first ever 5G deployment in manufacturing setup. 5G-SMART will undertake the evaluation of Electromagnetic compatibility (EMC), channel measurements and co-existence between public and private industrial networks in real manufacturing environments easing the integration of 5G. The new 5G features, developed in 5G-SMART such as time synchronisation and positioning for manufacturing use cases represent a technological leap. 

To further accelerate the take-up of 5G in the manufacturing ecosystem, 5G-SMART will explore new business models, including the roles of mobile network operators. 5G-SMART will result in the development of future 5G standards for the manufacturing sector complemented by new 5G enabled manufacturing products and solutions. 5G-SMART open days will directly address small and medium enterprises making 5G-SMART technology accessible to them. 5G-SMART lead by Ericsson brings together a strong consortium of partners involved in every aspect of the manufacturing ecosystem.","[""5G""]"
"Title: REProMag - Resource Efficient Production Route for Rare Earth Magnets Abstract: The overall objective of the REProMag project is to develop and validate an innovative, resource-efficient manufacturing route (SDS process) for Rare Earth magnets that allows for the economically efficient production of net-shape magnetic parts with complex structures and geometries, while being 100% waste-free along the whole manufacturing chain. 
The new Shaping, Debinding and Sintering (SDS) process for Rare Earth magnets is an innovative automated manufacturing route to realise complex 3D- and multilayered parts; resulting in a significant increase in the material efficiency of at least 30% during manufacturing; while at the same time allowing additional geometrical features such as threads, cooling channels, small laminations/segments (e.g. to increase the efficiency of electrical motors) and structural optimisations such as lightweight-structures or the joint-free realisation. As part of the project, the possibility to produce hybrid parts such as an improved moving-coil transducer for headphones, loudspeakers and microphones will be evaluated.
The SDS process allows a new level of sustainability in production, as the energy efficiency along the whole manufacturing chain can be increased by more than 30% when compared to conventional production routes. Moreover, the used raw material is 100% recycled and can be again recycled in the same way at the end of the lifetime of the products. In short, the innovative REProMag SDS process has the potential to manufacture complex structures of high quality and productivity with minimum use of material and energy, resulting in significant economic advantages compared to conventional manufacturing.
The REProMag project is a highly innovative combination of applied research, technology development and integration, resulting in small-scale prototypes and a closely connected demonstration activity clearly showing the technical feasibility of the REProMag SDS processing route in a near to operational environment.","[""mobile phones""]"
"Title: TrustVehicle - Improved trustworthiness and weather-independence of conditional automated vehicles in mixed traffic scenarios Abstract: Automated driving can be implemented with relatively simple controllers if the current location of the ego vehicle and the current and future locations of other road users are known without uncertainty. However, this is not going to happen in the initial stages of the introduction of automated driving systems into the market. As a consequence, system and human driver uncertainty pose a significant challenge in the development of trustable and fault-tolerant automated driving controllers, especially for conditional automation (SAE level 3) in mixed traffic scenarios. The TrustVehicle consortium brings together participants from the whole vehicle value chain to enhance safety and user-friendliness of level 3 automated driving systems. The main objectives are: (i) the systematic identification of critical road scenarios based on in-depth analysis of possible traffic situations and human behaviour; (ii) the setup of new tools for the cost- and time-effective assessment of driver-in/off-the-loop situations; (iii) design of controllers and sensor fusion systems capable of dealing with complex, uncertain and variable road scenarios to enhance road safety; (iv) the implementation of intuitive human-machine interfaces for the safe management of the transition phases taking into account user acceptance and gender-specific aspects; and (iv) the establishment of an adaptive and agile vehicle validation based on self-diagnostics and data logging to steadily extend the list of relevant scenarios and test cases. The outputs of the TrustVehicle project will be extensively assessed in real-world operating conditions on four demonstrators representing four vehicle classes. End users of the technology will systematically and thoroughly express their requirements, expectations, and concerns during the consortium activity. Special focus will be put on the demonstration of the fault-tolerant and fail-operational system behaviour at any time and for different kinds of weather conditions.","[""radar""]"
"Title: UWIPOM2 - ULTRA-EFFICIENT WIRELESS POWERED MICRO-ROBOTIC JOINT FOR HEALTH APPLICATIONS Abstract: This project seeks to develop the first micrometric-size Ultra-Efficient Wireless POwered Micro-robotic joint (UWIPOM2), enabling the creation of micro-robotic complex mechanisms for minimally invasive micro-surgery techniques and in-vivo health treatments. The foreseen robotic joint will contain a micro-motor connected to a new type of long-lasting gearbox which reduces drastically friction and simplifies assembly. Moreover, the robotic joint (motor + gear) will be wireless powered through gigahertz electromagnetic waves, thus providing infinite autonomy to any tool or micro-robot activated by UWIPOM2. 
The scientific-technological aim is to create the first building block able to power future healthcare micro-robots. Test in in-vivo like environment will be done to demonstrate its feasibility. If the risky scientific and technological challenges hereby proposed are overcome, radically new outstanding minimally invasive micro-surgery techniques and new non-invasive inside body treatments will be enabled, saving thousands of lives.","[""radio technology""]"
"Title: STANDUP - Smartphone Thermal ANalysis for Diabetic foot Ulcer Prevention and treatment Abstract: Diabetic foot (DF) disease includes neuropathy, peripheral arterial disease and infection which may lead to ulceration and subsequent lower limb amputation. DF ulcers could be further reduced according to diabetes experts. Temperature is one of the possible clinical parameter which is not currently well exploited. Recently, smartphones can acquire thermal images thanks to dedicated thermal camera. The STANDUP project proposes a smartphone based system such that mobile, accurate, friendly, low cost and fast thermal analysis of the plantar foot surface can be achieved. The smartphone thermal imaging system will be composed of a smartphone and of a FlirOne thermal camera. In the STANDUP project, two smartphone applications will be developed. The first one (A1: hyperthermia detection and analysis of thermal variations in time) will permit to detect possible hyperthermia of the plantar foot surface and will analyze temperature variations on targeted regions of interest. The second smartphone application will assess temperature, color, and 3D shape of DF ulcer along time. These smartphone applications will be evaluated during clinical trials in hospitals. In the first clinical trial, a cold stress test will permit to detect neuropathy and peripheral arterial disease. In the second clinical trial, temperature, color, and 3D shape in DF ulcers will be studied during its treatment. The third clinical study will assess the effectiveness of new insoles, these new insole will be developed during STANDUP with the objective to relive hyperthermia in DF. These 2 smartphone applications will be enhanced to result in an advanced prototype of smartphone based system for the targeted medical applications. This advanced smartphone thermal prototype, and the new insoles, will be developed during STANDUP to rapidly address novel market demands in DF early diagnosis, and in DF ulcer prevention and treatment and will lead to economic  benefits for  social  and  healthcare  system.","[""mobile phones""]"
"Title: iREACT - Inkjet-Printed Wireless Powered Circuits for Sensing and Identification. Abstract: The project establishes the application of inkjet printing as a key technology for the implementation of batteryless and wireless sensor and communication circuits based on wireless power transfer and energy harvesting, enabling the realization of the Internet of Things (IoT). Inkjet printing supports a large volume production, achieves a good resolution necessary for high frequency electronics, enables the use of a variety of low cost and flexible materials, and is a direct-write, and additive manufacturing technology. The research outcomes of the project focus in two goals, 1) demonstrate low profile, conformal, inkjet printed RF energy harvesters and autonomous wireless sensor and communication circuits, and 2) establish inkjet printing in millimeter wave frequencies. 
The applicant will become an expert in inkjet printing during the outgoing phase at Georgia Tech ATHENA laboratory, a world leading laboratory in inkjet printed RF electronics, where he would gain hands-on training in the technology, and he will develop transferable skills related to proposal, IPR and outreach activities and a wide scientific and industrial network of contacts. The applicant will also transfer to ATHENA lab his broad experience in energy harvesting and nonlinear circuit design, and he will enable a link with European networks in the field such as EU COST IC1301 on wireless power transfer, and foster a long-term collaboration beyond the project. Upon his return, an industrial secondment is foreseen which will allow the applicant to further train on IPR, as well as familiarize himself with the process of bringing the outcomes of the project into commercial products. The applicant will participate in the Scientific coordination and lead the Microwave Systems and Nanotechnology Group of the return host, which already has the necessary facilities to support inkjet printing fabrication.","[""radio technology""]"
"Title: TAIS - TES App Issuing Software Abstract: The overall objective of the TAIS project is to develop and demonstrate an efficient way for Councils to manage and
implement HandHelds in the normal day to day operations of their Civil Enforcement Officers, by using existing technology which is cheaper and more efficient that older style systems that Council presently use.
The specific project objectives (POs) of the project are to:
PO1. Identify and test the most suitable Mobile phone operating system with the longest battery life
PO2. Identify and develop the best process for utilising the GPS on the phone to relay the signal on a minute by minute
basis whilst reducing the battery consumption by 25%
PO3. Use open cross-platform communication protocols to develop an API that will link into the Compliance Display Map
(CDM)
PO4. Develop an Automatic Number Plate Reader that will allow real time look ups from a centralised database
PO5. Develop an API that will link into Back Office of pre-existing suppliers with the minimum of effort and the lowest cost
PO6. Identify and develop the best mechanism for robustness and ease of use that does not require the final users to have
deep knowledge of the underlying IT infrastructure.
PO7. Develop a reporting algorithm that will monitor each transaction which will ensure accountability as well as shortfalls
where further training is required
PO8. Develop a Control Panel usable by an Administrator which will ensure that all Data Protection issues are complied with
and which can easily be exported to a third party in the event of an enquiry
PO9. Reduce carbon footprint of “cruising vehicles” looking for parking by ensuring that overstayers will vacate their parking
bay on time due to possibility of enforceable action
PO10. To increase the number of vehicles checked per hour by parking attendants by at least 300%
PO11. To increase the accuracy of parking checks by attendants, thus reducing mis-reads by at least 30%.","[""mobile phones""]"
"Title: Loc8torHC - A disruptive healthcare monitoring solution that by nature of what and how it monitors (IoT) improves home safety, user wellbeing and provides early warning to help avoid critical admissions Abstract: Caring of ageing population will be one of the greatest challenges during this century. Most elderly people want to remain independent in their own homes for as long as possible. This decision can cause their children to worry about their parents’ wellbeing. This is when technology enabled care services (TECS), such as telecare and telehealth, provides a solution. TECS revenues in the EU28+2 countries reached an estimated €1.89 billion in 2013. 

To cope with this demand, next-generation telecare and tele-health platforms need to be enriched with innovative products. However, current monitoring devices for the elderly, can be divided into two types. The first is nothing more than a panic button connected to a 24-hour emergency telephone operator. It does little, costs a lot, and results in a lot of false alarms. The second kind is an incredibly complex, medical device that is beyond most seniors’ (and carers’) understanding which prevents mass market adoption. 

Loc8tor HealthCare (Loc8torHC), a disruptive, cost effective, scalable TECS platform targeted at the retail market. The core platform will be simple and work out of the box with no installation. Meanwhile, the carer can go online and configure the type of information they want the platform to send them, how often they want to receive updates, and whether they want updates in an e-mail, text message, or some other format.

The core product will include 6 core services; location, wander, fall, panic, activity and temperature in one device. Our competitive advantage is that our platform can easily be configured for numerous applications by adding 3rd party devices (blood pressure, heart rate, etc.) through a plug and play Bluetooth port. The data collected from the medical sensors, combined with daily activity patterns (core Loc8torHC tags), and any other data sources (weather, pollution etc.) will be processed through our algorithm to generate a recommended diagnostic output in real time.","[""bluetooth""]"
"Title: GN4-3 - Horizon 2020: H2020-SGA-INFRA-GEANT-2018 (Topic [a] Research and Education Networking) Abstract: The GN4-3 is the proposed project for the third Specific Grant Agreement under the 68-month Framework Partnership Agreement (FPA) established between the GÉANT Consortium and the European Commission in April 2015. This third phase of implementing the FPA is proposed to last 48 months and is a natural continuation of the work in GN4-2, building on the results and maintaining the overall objective of helping to raise European research to the next level, promoting scientific excellence, access and re-use of research data. 
GÉANT’s world-class, high-speed backbone provides seamless and secure connectivity with 42 National Research and Education Networks (NRENs), reaching over 50 million users in 10,000 institutions across Europe, and more than 100 countries worldwide through links with other regions. The core backbone is capable of multiple 100 Gbps transmission over each fibre link, and Terabit connectivity can be achieved by a single node. The safe and rapid connection of users to each other, to the increasing amounts of data generated by research, and to the high-performance computing capacity required by collaborative research form the foundation of the GÉANT partnership.
GÉANT services offer convenient, fast and reliable access to European High Performance Computing facilities, cloud services for the research and education community, access to scientific data and publications and other services from the European e-infrastructure providers, whenever and wherever needed. 
The structure of the present proposal emphasises updating existing services in line with requirements of the user community. This complements the proposed companion project GN4-3N, an ambitious programme increasing the footprint of the backbone network at the same time as improving its capacity, resilience and flexibility with the aim of offering 100Gbps network access to many more GÉANT partners and significantly diminish the digital divide.","[""data networks""]"
"Title: NEMF21 - Noisy Electromagnetic Fields - A Technological Platform for Chip-to-Chip Communication in the 21st Century Abstract: Wireless Chip-to-Chip (C2C) communication and wireless links between printed circuit boards operating as Multiple Input Multiple Output devices need to become dominant features of future generations of integrated circuits and chip architectures. They will be able to overcome the information bottleneck due to wired connections and will lead the semiconductor industry into a new More-Than-Moore era. Designing the architecture of these wireless C2C networks is, however, impossible today based on standard engineering design tools. Efficient modelling strategies for describing noisy electromagnetic fields in complex environments are necessary for developing these new chip architectures and wireless interconnectors. Device modelling and chip optimization procedures need to be based on the underlying physics for determining the electromagnetic fields, the noise models and complex interference pattern. In addition, they need to take into account input signals of modern communication systems being modulated, coded, noisy and eventually disturbed by other signals and thus extremely complex. 
Recent advances both in electrical engineering and mathematical physics make it possible to deliver the breakthroughs necessary to enable this future emerging wireless C2C technology by creating a revolutionary electromagnetic field simulation toolbox. Increasingly sophisticated physical models of wireless interconnects and associated signal processing strategies and new insight into wave modelling in complex environments based on dynamical systems theory and random matrix theory make it possible to envisage wireless communication on a chip level. This opens up completely new pathways for chip design, for carrier frequency ranges as well as for energy efficiency and miniaturisation, which will shape the electronic consumer market in the 21st century.","[""radio technology""]"
"Title: DEDICAT 6G - Dynamic coverage Extension and Distributed Intelligence for human Centric applications with assured security, privacy and trust: from 5G to 6G Abstract: In future 6G wireless networks, it is imperative to support more dynamic resourcing and connectivity to improve adaptability, performance, and trustworthiness in the presence of emerging human-centric services with heterogeneous computation needs. DEDICAT 6G aims to develop  a smart connectivity platform using artificial intelligence and blockchain techniques that will enable 6G networks to combine the existing communication infrastructure with novel distribution  of intelligence (data, computation and storage) at the edge to allow not only flexible, but also energy efficient realisation of the envisaged real-time experience. DEDICAT 6G takes the next vital step beyond 5G by addressing techniques for achieving and maintaining an efficient dynamic connectivity and intelligent placement of computation in the mobile network. In addition, the proposal targets the design and development of mechanisms for dynamic coverage extension through the exploitation of novel terminals and mobile client nodes, e.g., smart connected cars, robots and drones. DEDICAT also addresses security, privacy and trust assurance especially for mobile edge services and enablers for novel interaction between humans and digital systems.  The aim is to achieve (i) more efficient use of resources; (ii) reduction of latency, response time, and energy consumption; (iii) reduction of operational and capital expenditures; and (iv) reinforcement of security, privacy and trust. DEDICAT 6G will focus on four use cases: Smart warehousing, Enhanced experiences, Public Safety and Smart Highway. The use cases will pilot the developed solutions via simulations and demonstrations in laboratory environments, and larger field evaluations exploiting various assets and testing facilities. The results are expected to show significant improvements in terms of intelligent network load balancing and resource allocation, extended connectivity, enhanced security, privacy and trust and human-machine interactions.","[""5G""]"
"Title: TERAPOD - Terahertz based Ultra High Bandwidth Wireless Access Networks Abstract: The saturation of wireless spectrum access is leading to innovations in areas such as spectrum resource usage. It is widely thought however that the low hanging fruits of innovation for wireless communication are all but exploited with only marginal gains possible. For a real step change towards the coveted 1Tbps wireless transmission, new areas of the spectrum must be utilized. Recent breakthroughs in terahertz systems are overturning the “Terahertz gap” stigma associated with the previously difficult to access spectrum. With the emergence of viable THz communications systems on the horizon, it is crucial to develop a technology roadmap for THz communication for beyond the 5G timeframe. 
The aim TERAPOD is to investigate and demonstrate the feasability of ultra high bandwidth wireless access networks operating in the Terahertz band. The project will focus on end to end demonstration of the THz wireless link within a Data Centre Proof of Concept deployment, while also investigating other use cases applicable to beyond 5G such as wireless personal area networks, wireless local area networks and high bandwidth broadcasting. The project seeks to bring THz communication a leap closer to industry uptake through leveraging recent advances in THz components, a thorough measurement and characterization study of components and devices, coupled with specification and validation of higher layer communication protocol specification.","[""5G"", ""radar""]"
"Title: Ownerchip - Digital Rights Management Infrastructure For 3D Printed Artifacts Abstract: The OWNER-CHIP project will enable a Digital Rights Management (DRM) platform to connect brand owners of digitised assets with 3D printing bureaus. OWNER-CHIP will authenticate the manufactured product with a unique, embedded verification technology developed in stage 2 of the project; protecting the brand owners / IP licensors from counterfeiting and enabling added functionality and enriched content via mobile phone and gaming platforms (digital-physical extension).

OWNER-CHIP will initially focus on the $10Bn per annum character merchandising segment; the OWNER-CHIP technology will enable Things3D to revolutionise this market with its disruptive DRM platform.

Things3D is a young innovative company that needs support to be first-to-market with their DRM platform. The EC support will enable development of the missing technology needed to realise their revolutionary concept and turn it in to a robust, innovative solution that places the EU at the heart of the character merchandising industry.","[""mobile phones""]"
"Title: Strength2Food - Strengthening European Food Chain Sustainability by Quality and Procurement Policy Abstract: Strength2Food is a 5-year, €6.9 million project to improve the effectiveness of EU food quality schemes (FQS), public sector food procurement (PSFP) and to stimulate Short Food Supply Chains (SFSC) through research, innovation and demonstration activities. Our 30-partner consortium representing 11 EU and 4 non-EU countries combines leading academic, communication, SME and stakeholder organisations to ensure a multi-actor approach. It will undertake case study-based quantitative research to measure economic, environmental and social impacts of FQS, PSFP and SFSC. The impact of PSFP policies on balanced nutrition in schools will also be assessed. Primary research will be complemented by advanced econometric analysis of existing datasets to determine impacts of FQS and SFSC participation on farm performance and survival, as well as understand price transmission and trade patterns. Consumer knowledge, confidence in, valuation and use of FQS labels and products will be assessed via cross-national survey, ethnographic and virtual supermarket-based research. Lessons from the research will be applied and verified in 6 pilot initiatives, focusing on less-developed and transition regions. These initiatives bring together academic and non-academic stakeholder partners in action research. The six pilot actions are: a school meals initiative to improve the nutritional outcomes and economic benefits for local agri-food producers; in-store trials (undertaken with a grocery retailer) to upscale sales of local produce; a scheme to stimulate a sustainable SFSC that adds value to the fishing community; and pilot actions to expand regional food labelling; increase sales of FQS products in non-traditional markers; and improve returns to local producers at food fairs and farmers’ markets (via a smartphone app). Project impact will be maximised through a knowledge exchange platform, hybrid forums, school educational resources, a Massive Open Online Course and practitioner recommendations.","[""mobile phones""]"
"Title: RICHFIELDS - Research Infrastructure on Consumer Health and Food Intake using E-science with Linked Data Sharing Abstract: RICHFIELDS
Research Infrastructure on Consumer Health and Food Intake using E-science with Linked Data Sharing

There is growing interest in consumer health as related to food, behaviour and lifestyle determinants. However, data is fragmented, key information is lacking, and the resulting knowledge gap prohibits policy makers and companies to make effective public health nutrition strategies and reformulation of food products. Making “the healthy the easy choice” requires knowledge on the context of personal life style choices of EU-citizens. 
RICHFIELDS will design a world-class infrastructure for innovative research on healthy food choice, preparation and consumption of EU-citizens, closely linked to their behaviour and lifestyle. This unique RI will bridge the gap by linking the agri-food and nutrition-health domains and account for the regional and socio-economic diversity of the EU. The RI will be instrumental to produce a scientifically reliable, technically sound and socio-legally robust evidence-base that enables scientists to efficiently collect, unlock, connect and share research data of EU-citizens. 
Consumers are central to the design: they harbour crucial information, as they increasingly adopt mobile apps and tech-wear, get access to e-business data and even medical information. Collectively, such real-life-time data create new opportunities for research, by e.g., monitoring of food-behaviour providing personalized feedback.  For further testing, detailing and underpinning and theory-building,  interfaces will be created to distributed facilities for experimental research, e.g., virtual supermarkets. Further enrichment of data is achieved via interfaces with information systems for food and health.
The consumer-focus and the scientific evidence of RICHFIELDS will, via its services, be available to (a) EU-consumers and consumer platforms, (b) stakeholders along the food chain, and (c) policy actors in the agri-food and nutrition-health domain.","[""mobile phones""]"
"Title: TWIGA - Transforming Weather  Water data into value-added Information services for sustainable Growth in Africa Abstract: Objectives: Provide currently unavailable geo-information on weather, water and climate for sub-Saharan Africa by enhancing satellite-based geo-data with innovative in situ sensors and developing related information services that answer needs of African stakeholders and the GEOSS community.
Concept: A systematic feedback loop to reciprocally validate in situ measurements and satellite data in one integrated model. Over 500 in situ measurement stations using citizen science. 
State of the art advancement & Innovation potential: Building on and pushing further recent advances in sensor and communication technology to provide cheaper and more robust in situ measurements covering a wider area at a higher resolution in sub-Saharan Africa.
Working with tech-hubs in Europe and Africa to feed creation and growth of European and African start-ups that develop sensors and geo-services, delivering complete value chains from sensor to customer-ready information delivery.
Impact on call expectations:  
-Integration of in situ components into models based on GEOSS and Copernicus data
-OGC compliant science-grade geo-data (atmosphere, hydrosphere, biosphere) delivered to GEOSS, incl. near-real time statistically characterized soil moisture data from Africa that can be used operationally (not currently available) and radar derived soil moisture measurements also available under cloudy conditions, or vegetation overgrowth
-at least 20 new products for use in food, water, energy security, climate change and resilience to natural hazards validated and ready for large-scale implementation by consortium partners and external stakeholders
-based on at least 10 innovative, cost efficient, robust, sensors, including fast neutron coun-ter, track¬ing of convective storms with consumer lightning sensors and accelerometer for tree-crown weighing
-(Bio-degradable) sensors reduced to one tenth to one hundredth of their current price, extremely low-maintenance, use of Unmanned Aerial Vehicles.","[""radar""]"
"Title: BioDie2020 - Demonstration of new, challenging and high FFA waste oil and fat feedstock in biodiesel process with improved costs, conversion and high fuel quality Abstract: BioDie2020 will recover unconventional, degraded waste oils & fats, notably from Water Company infrastructures, and demonstrate the conversion of these wastes as a sustainable feedstock for biodiesel production. This break-through & beneficial pathway will maximise the use of waste oils & fats on a large scale for the 1st time on the biodiesel market, leading to lower transport carbon emissions. BioDie2020 FTI combines 5 top EU players in an agile & direct value-chain, working on this industry-wide milestone which will improve costs & conversion, achieving high fuel quality. Project coordinator Argent (UK, INDUS), a forward-thinking biofuel leader, will thus demonstrate biodiesel production in a closed-loop business model. 2 key process improvements will go from TRL6 to 7 at Argent’s biodiesel plant (site at Stanlow, UK): i) biofuel technology provider BDI (Austria, SME) will deliver Sulphur reduction in the biodiesel process; ii) microwave technology provider LJMU (UK, Uni) will integrate their bespoke microwave unit to improve pre-treatment of challenging feedstocks. Stagecoach (UK, INDUS), a leading EU captive bus fleet service provider, will perform field trials of final biodiesel. Quantis (France, SME), an ambitious EU SME will perform LCA & LCC analysis of the overall process, ensuring sustainability objectives are achieved. BioDie2020 partners own IP on each technical brick, giving pathways to market & business opportunities. Argent will save ~€5 million/year on feedstock costs, improving ROIC from 12% to 18% by 2019. Demo of BDI’s new process will confer a competitive edge on the retrofit market, giving them a ~25% sales increase by 2020. BioDie2020 will deliver 17 direct jobs and ~100 indirect jobs created or sustained in the EU by 2020. Argent’s ultimate aim is to invest in biofuel deployment via this reproducible waste-to-biodiesel plant (embedded in a closed-loop business model) with market replication by 2020 via commissioning or acquisition & retrofit.","[""microwave technology""]"
"Title: EHDEN - European Health Data and Evidence Network Abstract: Europe is generating huge amounts of patient-level information contained in Electronic Health Record (EHR) systems and other types of health databases. These include structured data in the form of diagnoses, medications, laboratory test results, etc., and unstructured data in clinical narratives.  The Electronic Health Data in a European Network (EHDEN) Consortium leverages these vast volumes of data to improve future clinical practice and individual patient outcomes by increasing our understanding of disease and treatment pathways. EHDEN will galvanize transparent and reproducible analytics that will generate valid real-world evidence to improve patient care, and enable medical outcomes-based research at an unprecedented scale. The EHDEN Consortium provides the infrastructure and eco-system supporting disease-specific projects in the IMI Big Data for Better Outcomes (BD4BO) programme. The core of EHDEN is the use of a common data model (OMOP-CDM), standardised outcome assessment (ICHOM), and transparent open-source analytics (OHDSI). The objective of the EHDEN consortium is to provide all the necessary services that enable a distributed European data network to perform fast, scalable and highly reproducible research, while respecting privacy regulations, local data provenance and governance. This will include services and tools to perform data standardization, analytical pipelines, tools to share study results, and tools for stakeholder engagement and training.  The EHDEN Consortium combines active participation of stakeholder representatives with proven experience in: a) integrating different data types, methods and technologies to utilize diverse clinical datasets; b) platform development to make methods and datasets Findable, Accessible, Interoperable and Reusable (FAIR); and c) engaging a wide variety of stakeholders, including health technology assessment agencies, regulators and patients.","[""data networks""]"
"Title: TRACKSCAN - A practical, portable and robust scanning system using infrastructure inspection radar (IIR) for the investigation of rail track substructure, ballast and tunnel infrastructure Abstract: This is a feasibility study to enable the development of a novel portable radar system that provides a simple non-invasive mechanism for inspecting railway infrastructure. At present different techniques are needed to inspect the ballast, track substructure and tunnels. TRACKSCAN would undertake these activities and more through non-invasive inspection. Within Europe ballast inspection requires digging a trench or driving plastic lined steel tubes into ballast with a pneumatic hammer. This is obviously impractical, time consuming, labour intensive and can miss ballast fouling. TRACKSCAN inspects all ballast so that maintenance can be targeted and effective. The feasibility study proposed intends to verify the technological and practical aspects of the system and ensure the business concept is sound. The system is described in terms of what can be achieved the science behind it is retained as confidential, as permitted by the call. The penetrating radar system has a rotating antenna which allows 360 degrees inspection and in any plane, this means that unlike other ballast inspection systems in the US, the TRACKSCAN system can extend beyond the vehicle width. The TRACKSCAN system is innovative, unique and we believe has a large market potential. The areas of inspection include: ballast; sub-ballast including drainage systems; water pipes and utilities, tunnel linings and tunnel track systems and bridge surface structures.
There is already interest from infrastructure owners and maintenance organisations such as Turkish Railways (TCDD) who have indicated their support as potential user/customers and will identify their needs and define the future work within Phase 2. Phase 1 will investigate:
•	Technological and practical viability and science, technology and innovation required in Phase 2
•	Economic viability and market potential
•	User needs for the system 
•	IPR (patent) and licensing
•	Business models and partners for Phase 2 and production of the system.","[""radar""]"
